Time (ns),Current (nA),Voltage (mV),Energy (uJ)
570930000,163600,3595,1554
571924000,163600,3596,1554.4
572786000,163600,3595,1555.2
574035000,163600,3596,1556
574893000,163600,3595,1556.4
575887000,163600,3596,1556.8
576750000,163600,3595,1557.6
577743000,163600,3595,1558
578857000,163600,3596,1558.8
579850000,163600,3595,1559.1
580708000,163600,3595,1559.5
581700000,163600,3595,1560.3
582559000,163600,3595,1560.7
583808000,163600,3595,1561.5
584667000,163600,3595,1561.9
585660000,163600,3595,1562.7
586518000,163600,3595,1563.1
587517000,163600,3595,1563.9
588631000,163600,3594,1564.3
589624000,163600,3595,1565.1
590482000,163600,3595,1565.5
591476000,163600,3596,1565.8
592334000,163600,3595,1566.7
593583000,163600,3596,1567
594441000,163600,3595,1567.8
595435000,163600,3595,1568.2
596293000,163600,3595,1568.6
597291000,163600,3595,1569.4
598405000,163600,3594,1569.8
599397000,163600,3594,1570.6
600256000,163600,3594,1571
601248000,163600,3594,1571.8
602107000,163600,3594,1572.2
603356000,163600,3594,1573
604215000,163600,3594,1573.4
605209000,162300,3595,1574.2
606068000,162300,3594,1574.5
607067000,162300,3595,1575.4
608180000,162300,3594,1575.7
609174000,162300,3595,1576.5
610032000,162300,3595,1576.9
611024000,162300,3594,1577.3
611883000,162300,3595,1578.1
613130000,162300,3595,1578.5
613989000,162300,3596,1579.3
614987000,162300,3595,1579.7
615846000,162300,3596,1580.1
616844000,162300,3595,1580.9
617958000,162300,3595,1581.2
618951000,162300,3594,1582
619808000,162300,3594,1582.4
620802000,162300,3594,1583.2
621661000,162300,3594,1583.6
622910000,162300,3594,1584.4
623769000,162300,3594,1584.8
624762000,162300,3595,1586.1
625620000,162300,3595,1586.1
626614000,162300,3595,1586.4
627734000,162300,3595,1587.2
628728000,162300,3595,1587.6
629586000,162300,3595,1588.4
630578000,162300,3595,1588.8
631437000,162300,3594,1589.1
632686000,162300,3595,1589.9
633544000,162300,3594,1590.3
634537000,162300,3594,1591.1
635396000,162300,3593,1591.5
636389000,162300,3594,1592.3
637508000,162300,3593,1592.7
638502000,162300,3593,1593.5
639360000,162300,3593,1593.9
640353000,162300,3593,1594.7
641212000,162300,3593,1595.1
642461000,162300,3593,1595.9
643320000,162300,3593,1596.3
644313000,162300,3594,1597.1
645171000,162300,3595,1597.5
646164000,162300,3594,1597.8
647283000,162300,3595,1598.6
648276000,162300,3594,1599
649135000,162300,3595,1599.8
650128000,162300,3595,1600.2
650987000,162300,3595,1600.6
652235000,162300,3594,1601.4
653094000,162300,3594,1601.8
654088000,162300,3594,1602.6
654946000,162300,3593,1603
655938000,162300,3593,1603.8
657064000,162300,3593,1604.2
658057000,162300,3592,1605
658915000,162300,3592,1605.4
659909000,162300,3593,1606.2
660768000,162300,3592,1606.5
662017000,162300,3593,1607.3
662876000,162300,3593,1607.7
663870000,162300,3594,1608.5
664729000,162300,3594,1608.9
665722000,162300,3594,1609.3
666841000,162300,3594,1610.1
667835000,162300,3594,1610.5
668694000,162300,3594,1611.3
669688000,162300,3594,1611.7
670546000,162300,3594,1612.1
671796000,162300,3594,1612.9
672654000,162300,3593,1613.2
673647000,162300,3593,1614
674506000,162300,3593,1614.4
675499000,162300,3593,1615.2
676613000,162300,3592,1615.6
677612000,162300,3593,1616.4
678471000,162300,3592,1616.8
679464000,162300,3593,1617.6
680323000,162300,3594,1618
681572000,162300,3594,1618.8
682431000,162300,3595,1619.2
683424000,162300,3594,1619.6
684281000,162300,3595,1620.4
685273000,162300,3594,1620.8
686387000,162300,3595,1621.6
687385000,162300,3594,1621.9
688244000,162300,3595,1622.3
689238000,162300,3594,1623.1
690096000,162300,3595,1623.5
691345000,162300,3594,1624.3
692204000,162300,3594,1624.7
693195000,162300,3593,1625.5
694055000,162300,3593,1625.9
695048000,162300,3594,1626.7
696162000,162300,3594,1627.1
697160000,162300,3594,1627.9
698019000,162300,3594,1628.3
699017000,162300,3595,1629.1
699875000,162300,3594,1629.5
701124000,162300,3595,1630.3
701983000,162300,3595,1630.6
702976000,162300,3595,1631
703835000,162300,3596,1631.8
704827000,162300,3595,1632.2
705940000,162300,3596,1633
706940000,162300,3595,1633.4
707799000,162300,3596,1634.2
708791000,162300,3595,1634.6
709650000,162300,3595,1635
