Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"485827000","72191300","3575","1.97567712E7"
"486820000","72317900","3575","1.97570294E7"
"487944000","71989600","3575","1.97573205E7"
"488938000","71989600","3576","1.97575795E7"
"490018000","72597700","3576","1.97578626E7"
"490877000","72597700","3575","1.97580858E7"
"491871000","72229700","3575","1.97583444E7"
"493211000","72227300","3575","1.97586929E7"
"494070000","72227300","3575","1.9758916E7"
"495063000","72317900","3575","1.97591751E7"
"496143000","72177900","3575","1.97594556E7"
"497002000","72177900","3575","1.97596792E7"
"498250000","72196000","3575","1.97600032E7"
"499108000","72196000","3575","1.97602276E7"
"500102000","72507800","3575","1.97604867E7"
"500960000","72507800","3576","1.97607102E7"
"501952000","72456300","3576","1.97609693E7"
"503072000","71986000","3576","1.97612595E7"
"504065000","71986000","3576","1.97615173E7"
"504923000","72216300","3577","1.97617409E7"
"505915000","72216300","3576","1.97619995E7"
"506774000","72304600","3576","1.97622227E7"
"508020000","72508200","3576","1.97625479E7"
"508879000","72508200","3576","1.97627724E7"
"509871000","72519700","3575","1.9763031E7"
"510730000","72519700","3575","1.9763255E7"
"511722000","72342900","3574","1.97635132E7"
"512842000","71986000","3574","1.97638034E7"
"513836000","71986000","3575","1.97640616E7"
"514916000","72315100","3575","1.97643434E7"
"515996000","72177900","3575","1.97646239E7"
"516855000","72177900","3576","1.97648471E7"
"518104000","72340900","3575","1.97651728E7"
"518962000","72340900","3575","1.97653972E7"
"519955000","72532800","3575","1.97656563E7"
"521035000","72243700","3574","1.97659372E7"
"521894000","72243700","3574","1.97661604E7"
"523149000","72032700","3574","1.97664852E7"
"524008000","72032700","3574","1.97667093E7"
"525000000","72279600","3574","1.9766967E7"
"525859000","72279600","3573","1.97671898E7"
"526852000","72216300","3573","1.97674484E7"
"527965000","72294600","3573","1.97677382E7"
"528957000","72294600","3572","1.97679964E7"
"529816000","72241300","3573","1.97682196E7"
"530813000","72241300","3573","1.97684794E7"
"531673000","72206500","3573","1.97687022E7"
"532927000","72531300","3573","1.97690296E7"
"533786000","72531300","3573","1.97692527E7"
"534779000","72191300","3573","1.97695109E7"
"535638000","72191300","3572","1.97697341E7"
"536631000","72191300","3572","1.97699923E7"
"537746000","72526900","3571","1.97702834E7"
"538738000","72526900","3571","1.97705424E7"
"539818000","72438700","3571","1.97708238E7"
"540898000","72069400","3571","1.97711039E7"
"541757000","72069400","3571","1.97713279E7"
"543011000","72310000","3571","1.9771654E7"
"543871000","72310000","3571","1.97718772E7"
"544863000","72216300","3571","1.97721354E7"
"545943000","72243700","3571","1.97724163E7"
"546801000","72243700","3571","1.97726391E7"
"548050000","72251600","3571","1.97729644E7"
"548909000","72251600","3571","1.97731884E7"
"549902000","72444500","3571","1.97734474E7"
"550761000","72444500","3571","1.9773671E7"
"551754000","72216300","3571","1.97739288E7"
"552874000","72049500","3572","1.97742194E7"
"553867000","72049500","3572","1.97744785E7"
"554726000","72254600","3571","1.97747012E7"
"555718000","72254600","3572","1.97749598E7"
"556577000","72367900","3572","1.97751834E7"
"557825000","72584400","3573","1.97755095E7"
"558685000","72584400","3573","1.97757327E7"
"559677000","72216300","3573","1.97759909E7"
"560541000","72216300","3573","1.97762145E7"
"561534000","72118500","3574","1.97764731E7"
"562655000","72258700","3574","1.97767646E7"
"563647000","72258700","3574","1.97770232E7"
"564728000","72359800","3574","1.97773046E7"
"565807000","72112100","3573","1.97775847E7"
"566665000","72112100","3573","1.97778087E7"
"567914000","72452100","3573","1.97781344E7"
"568772000","72452100","3573","1.9778358E7"
"569764000","72266300","3573","1.97786158E7"
"570845000","72352200","3574","1.97788971E7"
"571704000","72352200","3574","1.97791207E7"
"572962000","72178900","3574","1.97794473E7"
"573821000","72178900","3574","1.97796709E7"
"574813000","72153000","3574","1.97799282E7"
"575670000","72153000","3574","1.97801509E7"
"576663000","72354700","3574","1.978041E7"
"577777000","72358200","3575","1.97807002E7"
"578770000","72358200","3574","1.9780958E7"
"579628000","72304600","3574","1.9781182E7"
"580621000","72304600","3573","1.97814398E7"
"581480000","72153000","3573","1.97816629E7"
"582734000","72214000","3573","1.9781989E7"
"583592000","72214000","3573","1.97822122E7"
"584585000","72241300","3573","1.97824704E7"
"585444000","72241300","3574","1.97826936E7"
"586438000","72419400","3575","1.97829534E7"
"587551000","72294600","3575","1.97832433E7"
"588545000","72294600","3575","1.9783501E7"
"589626000","72145600","3575","1.9783782E7"
"590484000","72145600","3575","1.9784006E7"
"591476000","72367900","3575","1.97842642E7"
"592817000","72227300","3575","1.97846127E7"
"593675000","72227300","3575","1.97848363E7"
"594669000","72254600","3575","1.97850944E7"
"595749000","72352200","3576","1.97853758E7"
"596608000","72352200","3576","1.97855998E7"
"597856000","72362900","3576","1.97859247E7"
"598714000","72362900","3575","1.97861474E7"
"599706000","72266300","3575","1.9786406E7"
"600564000","72266300","3575","1.97866296E7"
"601556000","72266300","3574","1.97868874E7"
"602676000","72131900","3574","1.97871781E7"
"603668000","72131900","3575","1.97874354E7"
"604525000","72101200","3574","1.97876582E7"
"605518000","72101200","3574","1.97879172E7"
"606377000","72469500","3574","1.97881412E7"
"607626000","72547200","3574","1.97884673E7"
"608484000","72547200","3574","1.97886896E7"
"609476000","72139600","3574","1.97889478E7"
"610335000","72139600","3574","1.97891718E7"
"611328000","72317900","3574","1.978943E7"
"612443000","72106400","3574","1.97897194E7"
"613441000","72106400","3574","1.97899793E7"
"614525000","72251300","3574","1.97902611E7"
"615384000","72251300","3574","1.97904855E7"
"616377000","72469500","3574","1.97907441E7"
"617490000","72189300","3574","1.97910335E7"
"618483000","72189300","3575","1.97912913E7"
"619342000","72216300","3574","1.97915149E7"
"620334000","72216300","3573","1.97917727E7"
"621192000","72202900","3573","1.97919958E7"
"622440000","72020900","3573","1.97923194E7"
"623305000","72020900","3573","1.97925447E7"
"624297000","72395900","3573","1.97928033E7"
"625156000","72395900","3573","1.97930265E7"
"626148000","72431300","3573","1.97932859E7"
"627261000","72084000","3573","1.97935749E7"
"628255000","72084000","3574","1.97938331E7"
"629114000","72254600","3574","1.97940567E7"
"630107000","72254600","3574","1.97943153E7"
"631186000","72246700","3574","1.97945958E7"
"632301000","72106400","3574","1.97948852E7"
"633300000","72106400","3574","1.97951447E7"
"634159000","72181600","3574","1.97953679E7"
"635151000","72181600","3574","1.97956269E7"
"636232000","72359800","3574","1.97959079E7"
"637346000","72106400","3574","1.97961973E7"
"638340000","72106400","3574","1.97964559E7"
"639421000","72202100","3573","1.97967364E7"
