Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"428317000","691300","3596","1079.8"
"429657000","691300","3597","1082.8"
"430735000","691300","3596","1085.8"
"431814000","691300","3596","1088.3"
"432894000","691300","3597","1090.8"
"433973000","691300","3596","1093.8"
"435308000","691300","3597","1097.2"
"436386000","691300","3596","1099.8"
"437466000","691300","3596","1102.3"
"438545000","691300","3596","1105.3"
"439630000","691300","3596","1107.8"
"440964000","691300","3597","1111.2"
"442044000","691300","3596","1113.8"
"443122000","691300","3597","1116.7"
"444201000","691300","3596","1119.3"
"445281000","691600","3596","1121.8"
"446615000","691600","3597","1125.2"
"447694000","691600","3596","1127.8"
"448772000","691600","3597","1130.7"
"449856000","691600","3596","1133.3"
"450936000","691600","3596","1136.3"
"452269000","691600","3595","1139.2"
"453352000","691600","3595","1142.2"
"454432000","691600","3596","1144.7"
"455510000","691600","3596","1147.3"
"456589000","691600","3596","1150.3"
"457923000","691600","3595","1153.2"
"459001000","691600","3595","1156.2"
"460086000","691600","3595","1158.7"
"461165000","691600","3595","1161.7"
"462244000","691600","3595","1164.3"
"463579000","691600","3595","1167.7"
"464658000","691600","3595","1170.2"
"465737000","691600","3596","1172.7"
"466815000","691600","3595","1175.7"
"467895000","691600","3596","1178.3"
"469235000","693800","3595","1181.7"
"470314000","693800","3596","1184.2"
"471393000","693800","3595","1187.2"
"472473000","693800","3596","1189.7"
"473552000","693800","3596","1192.7"
"474886000","693800","3596","1195.7"
"475964000","693800","3596","1198.6"
"477043000","693800","3596","1201.2"
"478123000","693800","3596","1203.7"
"479208000","693800","3596","1206.7"
"480543000","693800","3597","1210.1"
"481622000","693800","3596","1212.6"
"482701000","693800","3597","1215.2"
"483780000","693800","3597","1218.2"
"484859000","693800","3597","1220.7"
"486193000","693800","3596","1224.1"
"487272000","693800","3596","1226.6"
"488351000","693800","3597","1229.6"
"489434000","693800","3597","1232.2"
"490513000","693800","3597","1234.7"
"491848000","693800","3596","1238.1"
"492927000","691500","3597","1240.6"
"494006000","691500","3597","1243.6"
"495090000","691500","3597","1246.2"
"496168000","691500","3596","1248.7"
"497502000","691500","3597","1252.1"
"498581000","691500","3596","1254.6"
"499666000","691500","3596","1257.6"
"500743000","691500","3597","1260.2"
"501823000","691500","3597","1262.7"
"503156000","691500","3597","1266.1"
"504235000","691500","3597","1268.6"
"505314000","691500","3597","1271.6"
"506392000","691500","3597","1274.2"
"507472000","691500","3597","1276.7"
"508806000","691500","3597","1280.1"
"509890000","691500","3597","1282.6"
"510969000","691500","3597","1285.6"
"512047000","691500","3596","1288.2"
"513126000","691500","3597","1290.7"
"514461000","691500","3597","1294.1"
"515539000","691500","3596","1296.6"
"516618000","691500","3597","1299.6"
"517697000","691500","3596","1302.2"
"518776000","691500","3596","1304.7"
"520116000","691500","3595","1308.1"
"521194000","691500","3596","1310.6"
"522273000","691500","3595","1313.6"
"523351000","691500","3595","1316.2"
"524430000","691500","3595","1318.7"
"525764000","691500","3595","1322.1"
"526843000","691500","3595","1324.6"
"527922000","691500","3595","1327.6"
"529001000","691500","3594","1330.2"
"530084000","691500","3594","1332.7"
"531419000","691500","3595","1336.1"
"532498000","691500","3594","1338.6"
"533576000","691500","3594","1341.6"
"534654000","691500","3594","1344.2"
"535733000","691500","3594","1346.7"
"537073000","691500","3593","1350.1"
"538152000","691500","3593","1352.6"
"539237000","691500","3593","1355.6"
"540316000","686200","3593","1358.2"
"541395000","686200","3593","1361.1"
"542729000","686200","3593","1364.1"
"543809000","686200","3594","1367.1"
"544888000","686200","3593","1369.6"
"545967000","686200","3593","1372.2"
"547046000","686200","3593","1375.1"
"548379000","686200","3593","1378.1"
"549463000","686200","3593","1381.1"
"550543000","686200","3593","1383.6"
"551622000","686200","3593","1386.2"
"552700000","686200","3593","1389.1"
"554034000","686200","3593","1392.1"
"555114000","686200","3593","1395.1"
"556193000","686200","3593","1397.6"
"557271000","686200","3593","1400.2"
"558350000","686200","3593","1403.1"
"559691000","686200","3593","1406.1"
"560769000","686200","3593","1409.1"
"561848000","686200","3593","1411.6"
"562927000","686200","3594","1414.6"
"564006000","691600","3593","1417.1"
"565340000","691600","3594","1420.5"
"566417000","691600","3594","1423.1"
"567496000","691600","3594","1425.6"
"568575000","691600","3594","1428.6"
"569659000","691600","3594","1431.1"
"570994000","691600","3594","1434.5"
"572074000","691600","3594","1437.1"
"573153000","691600","3594","1439.6"
"574232000","691600","3594","1442.6"
"575311000","691600","3594","1445.1"
"576645000","691600","3595","1448.5"
"577724000","691600","3595","1451.1"
"578803000","691600","3595","1454.1"
"579892000","691600","3594","1456.6"
"580971000","691600","3595","1459.1"
"582306000","691600","3595","1462.5"
"583384000","691600","3595","1465.1"
"584463000","691600","3595","1468.1"
"585542000","691600","3595","1470.6"
"586621000","691600","3596","1473.6"
"587955000","688900","3595","1476.5"
"589034000","688900","3596","1479.5"
"590118000","688900","3596","1482.1"
"591197000","688900","3596","1484.6"
"592276000","688900","3596","1487.6"
"593611000","688900","3597","1490.5"
"594689000","688900","3596","1493.5"
"595768000","688900","3597","1496.1"
"596846000","688900","3596","1499.0"
"597924000","688900","3596","1501.6"
"599265000","688900","3597","1505.0"
"600342000","688900","3596","1507.5"
"601421000","688900","3597","1510.1"
"602500000","688900","3596","1513.0"
"603579000","688900","3596","1515.6"
"604914000","688900","3597","1519.0"
"605993000","688900","3596","1521.5"
"607071000","688900","3597","1524.5"
"608150000","688900","3597","1527.0"
"609235000","688900","3597","1530.0"
"610568000","688900","3596","1533.0"
"611647000","696600","3597","1536.0"
"612726000","696600","3596","1538.5"
"613805000","696600","3596","1541.0"
"614884000","696600","3597","1544.0"
"616218000","696600","3596","1547.0"
"617296000","696600","3596","1550.0"
"618374000","696600","3596","1552.5"
"619459000","696600","3596","1555.0"
"620538000","696600","3596","1558.0"
"621876000","696600","3595","1561.0"
"622955000","696600","3596","1564.0"
"624033000","696600","3595","1566.5"
"625112000","696600","3595","1569.0"
"626190000","696600","3595","1572.0"
"627525000","696600","3595","1575.0"
"628604000","696600","3595","1578.0"
"629688000","696600","3595","1580.5"
"630767000","696600","3595","1583.0"
"631844000","696600","3594","1586.0"
"633179000","696600","3595","1589.0"
"634258000","696600","3595","1592.0"
"635336000","686500","3594","1594.5"
"636414000","686500","3595","1597.0"
"637492000","686500","3594","1600.0"
"638828000","686500","3594","1603.0"
"639912000","686500","3594","1606.0"
"640991000","686500","3594","1608.5"
"642070000","686500","3594","1611.0"
"643149000","686500","3595","1614.0"
"644484000","686500","3595","1617.0"
"645563000","686500","3595","1620.0"
"646642000","686500","3595","1622.5"
"647722000","686500","3595","1625.0"
"648801000","686500","3594","1628.0"
"650141000","686500","3594","1631.0"
"651219000","686500","3594","1634.0"
"652298000","686500","3595","1636.5"
"653378000","686500","3594","1639.0"
"654457000","686500","3595","1642.0"
"655792000","686500","3595","1645.4"
"656871000","686500","3595","1648.0"
"657949000","686500","3594","1650.5"
"659028000","691500","3594","1653.5"
"660113000","691500","3595","1656.0"
"661448000","691500","3595","1659.4"
"662526000","691500","3594","1662.0"
"663610000","691500","3595","1664.9"
"664687000","691500","3595","1667.5"
"665767000","691500","3595","1670.0"
"667101000","691500","3595","1673.4"
"668180000","691500","3595","1676.0"
"669265000","691500","3596","1678.9"
"670344000","691500","3595","1681.5"
"671422000","691500","3595","1684.5"
"672756000","691500","3595","1687.4"
"673835000","691500","3595","1690.4"
"674914000","691500","3595","1692.9"
"675993000","691500","3595","1695.5"
"677072000","691500","3596","1698.5"
"678407000","691500","3595","1701.4"
"679490000","691500","3596","1704.4"
"680570000","691500","3596","1706.9"
"681648000","691500","3596","1709.5"
"682726000","691300","3596","1712.5"
"684061000","691300","3597","1715.4"
"685139000","691300","3597","1718.4"
"686218000","691300","3597","1720.9"
"687297000","691300","3597","1723.9"
"688375000","691300","3597","1726.5"
"689715000","691300","3598","1729.9"
"690794000","691300","3598","1732.4"
"691872000","691300","3598","1734.9"
"692950000","691300","3598","1737.9"
"694029000","691300","3598","1740.5"
"695364000","691300","3598","1743.9"
"696442000","691300","3598","1746.4"
"697521000","691300","3598","1749.4"
"698599000","691300","3598","1751.9"
"699684000","691300","3598","1754.5"
"701018000","691300","3597","1757.9"
"702098000","691300","3597","1760.4"
"703176000","691300","3597","1763.4"
"704255000","691300","3597","1765.9"
"705338000","691300","3597","1768.9"
"706672000","689000","3596","1771.9"
"707750000","689000","3597","1774.8"
"708829000","689000","3596","1777.4"
"709912000","689000","3597","1779.9"
"710991000","689000","3597","1782.9"
"712324000","689000","3597","1785.9"
"713403000","689000","3597","1788.8"
"714481000","689000","3597","1791.4"
"715560000","689000","3597","1794.4"
"716639000","689000","3596","1796.9"
"717973000","689000","3597","1800.3"
"719051000","689000","3597","1802.8"
"720136000","689000","3596","1805.8"
"721215000","689000","3596","1808.4"
"722294000","689000","3596","1810.9"
"723627000","689000","3597","1814.3"
"724707000","689000","3596","1816.8"
"725786000","689000","3596","1819.8"
"726865000","689000","3596","1822.4"
"727943000","689000","3596","1825.3"
"729284000","689000","3597","1828.3"
"730363000","696600","3596","1831.3"
"731442000","696600","3597","1833.8"
"732520000","696600","3596","1836.8"
"733599000","696600","3596","1839.3"
"734933000","696600","3597","1842.7"
"736011000","696600","3596","1845.3"
"737090000","696600","3597","1848.2"
"738169000","696600","3596","1850.8"
"739254000","696600","3596","1853.3"
"740588000","696600","3595","1856.7"
"741666000","696600","3595","1859.3"
"742746000","696600","3595","1862.2"
"743824000","696600","3594","1864.8"
"744903000","696600","3595","1867.3"
"746237000","696600","3594","1870.7"
"747321000","696600","3594","1873.3"
"748400000","696600","3594","1876.2"
"749484000","696600","3594","1878.8"
"750563000","696600","3594","1881.3"
"751897000","696600","3594","1884.7"
"752975000","696600","3594","1887.3"
"754054000","691500","3594","1890.2"
"755133000","691500","3593","1892.8"
"756212000","691500","3593","1895.3"
"757547000","691500","3594","1898.7"
"758627000","691500","3594","1901.3"
"759710000","691500","3594","1904.2"
"760790000","691500","3594","1906.8"
"761868000","691500","3594","1909.3"
"763202000","691500","3594","1912.7"
"764281000","691500","3594","1915.3"
"765359000","691500","3594","1918.3"
"766439000","691500","3594","1920.8"
"767518000","691500","3593","1923.3"
"768852000","691500","3593","1926.7"
"769937000","691500","3594","1929.7"
"771016000","691500","3593","1932.3"
"772095000","691500","3594","1934.8"
"773173000","691500","3594","1937.8"
"774508000","691500","3593","1940.7"
"775587000","691500","3594","1943.7"
"776664000","691500","3593","1946.3"
"777743000","686500","3594","1948.8"
"778822000","686500","3594","1951.8"
"780161000","686500","3593","1954.7"
"781239000","686500","3594","1957.7"
"782318000","686500","3594","1960.7"
"783398000","686500","3594","1962.8"
"784477000","686500","3594","1965.8"
"785810000","686500","3594","1968.7"
"786890000","686500","3594","1971.7"
"787969000","686500","3594","1974.3"
"789053000","686500","3594","1977.2"
"790137000","686500","3594","1979.8"
"791471000","686500","3595","1983.2"
"792550000","686500","3594","1985.7"
"793629000","686500","3594","1988.3"
"794706000","686500","3594","1991.2"
"795786000","686500","3595","1993.8"
"797120000","686500","3595","1997.2"
"798199000","686500","3595","1999.7"
"799284000","686500","3595","2002.7"
"800362000","686500","3594","2005.2"
"801441000","691400","3595","2007.8"
"802775000","691400","3595","2011.2"
"803854000","691400","3595","2013.7"
"804934000","691400","3595","2016.7"
"806013000","691400","3595","2019.2"
"807092000","691400","3595","2022.2"
"808426000","691400","3595","2025.2"
"809509000","691400","3595","2028.1"
"810589000","691400","3595","2030.7"
"811667000","691400","3595","2033.2"
"812746000","691400","3596","2036.2"
"814081000","691400","3595","2039.2"
"815160000","691400","3596","2042.1"
"816239000","691400","3595","2044.7"
"817319000","691400","3596","2047.7"
"818397000","691400","3596","2050.2"
"819738000","691400","3597","2053.6"
"820816000","691400","3596","2056.1"
"821894000","691400","3596","2058.7"
"822973000","691400","3596","2061.7"
"824052000","691400","3597","2064.2"
"825387000","694100","3597","2067.6"
"826466000","694100","3597","2070.1"
"827545000","694100","3597","2073.1"
"828624000","694100","3597","2075.7"
"829708000","694100","3597","2078.2"
"831047000","694100","3597","2081.6"
"832126000","694100","3597","2084.6"
"833205000","694100","3597","2087.1"
"834284000","694100","3596","2089.7"
"835363000","694100","3596","2092.6"
"836696000","694100","3596","2095.6"
"837775000","694100","3596","2098.6"
"838854000","694100","3595","2101.1"
"839938000","694100","3596","2104.1"
"841016000","694100","3595","2106.6"
"842351000","694100","3596","2110.0"
"843428000","694100","3596","2112.6"
"844507000","694100","3596","2115.1"
"845586000","694100","3595","2118.1"
"846665000","694100","3596","2120.6"
"848000000","694100","3595","2124.0"
"849079000","691500","3595","2126.6"
"850162000","691500","3595","2129.6"
"851242000","691500","3595","2132.1"
"852321000","691500","3595","2134.6"
"853656000","691500","3595","2138.0"
"854735000","691500","3595","2141.0"
"855814000","691500","3595","2143.6"
"856893000","691500","3596","2146.1"
"857971000","691500","3595","2149.1"
"859311000","691500","3596","2152.5"
"860389000","691500","3596","2155.0"
"861467000","691500","3596","2157.6"
"862545000","691500","3596","2160.5"
"863625000","691500","3596","2163.1"
"864959000","691500","3596","2166.5"
"866037000","691500","3596","2169.0"
"867115000","691500","3596","2171.6"
"868195000","691500","3597","2174.5"
"869280000","691500","3596","2177.1"
"870614000","691500","3596","2180.5"
"871693000","691500","3596","2183.0"
"872776000","696400","3597","2186.0"
"873856000","696400","3596","2188.5"
"874934000","696400","3596","2191.1"
"876269000","696400","3595","2194.5"
"877348000","696400","3595","2197.0"
"878426000","696400","3595","2200.0"
"879510000","696400","3595","2202.5"
"880589000","696400","3595","2205.1"
"881922000","696400","3594","2208.5"
"883000000","696400","3594","2211.0"
"884079000","696400","3594","2214.0"
"885158000","696400","3594","2216.5"
"886238000","696400","3595","2219.1"
"887571000","696400","3595","2222.5"
"888650000","696400","3595","2225.0"
"889735000","696400","3595","2228.0"
"890815000","696400","3596","2230.5"
"891894000","696400","3596","2233.5"
"893227000","696400","3596","2236.5"
"894306000","696400","3596","2239.5"
"895385000","696400","3596","2242.0"
"896465000","686500","3595","2244.5"
"897542000","686500","3596","2247.5"
"898878000","686500","3595","2250.5"
"899963000","686500","3595","2253.5"
"901042000","686500","3595","2256.0"
"902121000","686500","3596","2258.5"
"903200000","686500","3596","2261.5"
"904535000","686500","3596","2264.5"
"905614000","686500","3596","2267.5"
"906693000","686500","3596","2270.0"
"907771000","686500","3597","2273.0"
"908849000","686500","3596","2275.5"
"910189000","686500","3597","2278.9"
"911267000","686500","3596","2281.5"
"912346000","686500","3597","2284.0"
"913425000","686500","3596","2287.0"
"914518000","686500","3597","2289.5"
"915852000","686500","3596","2292.9"
"916930000","686500","3596","2295.5"
"918009000","686500","3595","2298.0"
"919088000","686500","3596","2301.0"
"920173000","691000","3595","2303.5"
"921507000","691000","3596","2306.9"
"922586000","691000","3595","2309.5"
"923665000","691000","3595","2312.4"
"924743000","691000","3595","2315.0"
"925823000","691000","3596","2317.5"
"927156000","691000","3595","2320.9"
"928235000","691000","3596","2323.9"
"929318000","691000","3596","2326.4"
"930397000","691000","3596","2329.0"
"931475000","691000","3596","2332.0"
"932811000","691000","3596","2334.9"
"933890000","691000","3596","2337.9"
"934969000","691000","3596","2340.4"
"936048000","691000","3596","2343.0"
"937126000","691000","3596","2346.0"
"938460000","691000","3597","2349.4"
"939544000","691000","3597","2351.9"
"940623000","691000","3597","2354.4"
"941702000","691000","3597","2357.4"
